symbol,name,underlyingIndexName,legacyAssetClass,assetClass,legacySectorCode,sectorCode,region,stockSectorCode,rotationSource,marketSource,peerGroup,basis,confidence
273130,KODEX 종합채권(AA-이상)액티브,KAP 한국종합채권지수,bond_cash,bond_cash,MARKET_IDX,BOND_CASH,KR,,excluded_nonplain_equity,not_researched,KR:BOND_CASH,existing_sector_plus_name_index,semantic_mapping_not_constituent_verified
273140,KODEX 단기변동금리부채권액티브,KAP 단기변동금리부은행채권지수,bond_cash,bond_cash,MARKET_IDX,BOND_CASH,KR,,excluded_nonplain_equity,not_researched,KR:BOND_CASH,existing_sector_plus_name_index,semantic_mapping_not_constituent_verified
275750,RISE 코스닥150선물인버스,F-코스닥150 지수,leveraged_inverse,leveraged_inverse,MARKET_IDX,MARKET_IDX,KR,,excluded_nonplain_equity,not_researched,KR:MARKET_IDX,existing_sector_plus_name_index,semantic_mapping_not_constituent_verified
275980,TIGER 글로벌4차산업혁신기술(합성 H),Morningstar Exponential Technologies Equal Weighted Select PR USD,equity,equity,ETC,MULTI_TECH,GLOBAL,,not_applicable_no_compatible_stock_sector,own_underlying_regime,GLOBAL:MULTI_TECH,symbol_override_from_name_index,semantic_mapping_not_constituent_verified
276650,RISE 글로벌테크놀로지(합성 H),S&P Global 1200 Information Technology and Interactive Media & Services(PR),equity,equity,ETC,MULTI_TECH,GLOBAL,,not_applicable_no_compatible_stock_sector,own_underlying_regime,GLOBAL:MULTI_TECH,symbol_override_from_name_index,semantic_mapping_not_constituent_verified
276990,KODEX 글로벌로봇(합성),ROBO Global Robotics & Automation UCITS Price Return Index,equity,equity,SHIP_DEF,SHIP_DEF,GLOBAL,,not_applicable_no_compatible_stock_sector,own_underlying_regime,GLOBAL:SHIP_DEF,existing_sector_plus_name_index,semantic_mapping_not_constituent_verified
277540,ACE 아시아TOP50,S&P ASIA50 Price Return Index,equity,equity,ETC,MARKET_IDX,US,,not_applicable_no_compatible_stock_sector,own_underlying_regime,US:MARKET_IDX,existing_sector_plus_name_index,semantic_mapping_not_constituent_verified
277630,TIGER 코스피,코스피,equity,equity,MARKET_IDX,MARKET_IDX,KR,,not_applicable_no_compatible_stock_sector,own_underlying_regime,KR:MARKET_IDX,existing_sector_plus_name_index,semantic_mapping_not_constituent_verified
277640,TIGER 코스피대형주,코스피 대형주,equity,equity,MARKET_IDX,MARKET_IDX,KR,,not_applicable_no_compatible_stock_sector,own_underlying_regime,KR:MARKET_IDX,existing_sector_plus_name_index,semantic_mapping_not_constituent_verified
277650,TIGER 코스피중형주,코스피 중형주,equity,equity,MARKET_IDX,MARKET_IDX,KR,,not_applicable_no_compatible_stock_sector,own_underlying_regime,KR:MARKET_IDX,existing_sector_plus_name_index,semantic_mapping_not_constituent_verified
278240,RISE 코스닥150선물레버리지,F-코스닥150 지수,leveraged_inverse,leveraged_inverse,MARKET_IDX,MARKET_IDX,KR,,excluded_nonplain_equity,not_researched,KR:MARKET_IDX,existing_sector_plus_name_index,semantic_mapping_not_constituent_verified
278530,KODEX 200TR,코스피 200 TR,equity,equity,MARKET_IDX,MARKET_IDX,KR,,not_applicable_no_compatible_stock_sector,own_underlying_regime,KR:MARKET_IDX,existing_sector_plus_name_index,semantic_mapping_not_constituent_verified
278540,KODEX MSCI Korea TR,MSCI Korea TR Index,equity,equity,MARKET_IDX,MARKET_IDX,KR,,not_applicable_no_compatible_stock_sector,own_underlying_regime,KR:MARKET_IDX,existing_sector_plus_name_index,semantic_mapping_not_constituent_verified
279530,KODEX 고배당주,FnGuide 고배당 Plus 지수,equity,equity,MARKET_IDX,MARKET_IDX,KR,,not_applicable_no_compatible_stock_sector,own_underlying_regime,KR:MARKET_IDX,existing_sector_plus_name_index,semantic_mapping_not_constituent_verified
280320,ACE 미국IT인터넷(합성 H),다우존스 인터넷 종합지수,equity,equity,SOFTWARE,SOFTWARE,US,,not_applicable_no_compatible_stock_sector,own_underlying_regime,US:SOFTWARE,existing_sector_plus_name_index,semantic_mapping_not_constituent_verified
282000,RISE 국고채3년선물인버스,국채선물지수,leveraged_inverse,leveraged_inverse,MARKET_IDX,MARKET_IDX,KR,,excluded_nonplain_equity,not_researched,KR:MARKET_IDX,existing_sector_plus_name_index,semantic_mapping_not_constituent_verified
283580,KODEX 차이나CSI300,CSI 300 Index,equity,equity,ETC,MARKET_IDX,CN,,not_applicable_no_compatible_stock_sector,own_underlying_regime,CN:MARKET_IDX,existing_sector_plus_name_index,semantic_mapping_not_constituent_verified
284430,KODEX 200미국채혼합50,코스피 200 미국채 혼합지수,mixed,mixed,MARKET_IDX,MULTI_ASSET,US,,excluded_nonplain_equity,not_researched,US:MULTI_ASSET,existing_sector_plus_name_index,semantic_mapping_not_constituent_verified
289480,TIGER 200커버드콜,코스피 200 커버드콜 ATM 지수,option_overlay,option_overlay,MARKET_IDX,MARKET_IDX,KR,,excluded_nonplain_equity,not_researched,KR:MARKET_IDX,existing_sector_plus_name_index,semantic_mapping_not_constituent_verified
290130,RISE ESG사회책임투자,KRX ESG 사회책임경영지수(S),equity,equity,ETC,MARKET_IDX,KR,,not_applicable_no_compatible_stock_sector,own_underlying_regime,KR:MARKET_IDX,existing_sector_plus_name_index,semantic_mapping_not_constituent_verified
291620,KIWOOM 코스닥150선물인버스,F-코스닥150 지수,leveraged_inverse,leveraged_inverse,MARKET_IDX,MARKET_IDX,KR,,excluded_nonplain_equity,not_researched,KR:MARKET_IDX,existing_sector_plus_name_index,semantic_mapping_not_constituent_verified
291630,KIWOOM 코스닥150선물레버리지,F-코스닥150 지수,leveraged_inverse,leveraged_inverse,MARKET_IDX,MARKET_IDX,KR,,excluded_nonplain_equity,not_researched,KR:MARKET_IDX,existing_sector_plus_name_index,semantic_mapping_not_constituent_verified
291890,KODEX MSCI EM선물(H),iEdge Emerging Markets Futures Index(ER),equity,equity,MARKET_IDX,MARKET_IDX,GLOBAL,,not_applicable_no_compatible_stock_sector,own_underlying_regime,GLOBAL:MARKET_IDX,existing_sector_plus_name_index,semantic_mapping_not_constituent_verified
292050,RISE KRX300,KRX 300,equity,equity,MARKET_IDX,MARKET_IDX,KR,,not_applicable_no_compatible_stock_sector,own_underlying_regime,KR:MARKET_IDX,existing_sector_plus_name_index,semantic_mapping_not_constituent_verified
292150,TIGER 코리아TOP10,FnGuide TOP10 지수,equity,equity,MARKET_IDX,MARKET_IDX,KR,,not_applicable_no_compatible_stock_sector,own_underlying_regime,KR:MARKET_IDX,existing_sector_plus_name_index,semantic_mapping_not_constituent_verified
292160,TIGER KRX300,KRX 300,equity,equity,MARKET_IDX,MARKET_IDX,KR,,not_applicable_no_compatible_stock_sector,own_underlying_regime,KR:MARKET_IDX,existing_sector_plus_name_index,semantic_mapping_not_constituent_verified
292190,KODEX KRX300,KRX 300,equity,equity,MARKET_IDX,MARKET_IDX,KR,,not_applicable_no_compatible_stock_sector,own_underlying_regime,KR:MARKET_IDX,existing_sector_plus_name_index,semantic_mapping_not_constituent_verified
292560,TIGER 일본엔선물,엔선물지수,commodity_fx,commodity_fx,MARKET_IDX,COMMODITY_FX,JP,,excluded_nonplain_equity,not_researched,JP:COMMODITY_FX,existing_sector_plus_name_index,semantic_mapping_not_constituent_verified
292770,KODEX 국채선물3년인버스,국채선물지수,leveraged_inverse,leveraged_inverse,MARKET_IDX,MARKET_IDX,KR,,excluded_nonplain_equity,not_researched,KR:MARKET_IDX,existing_sector_plus_name_index,semantic_mapping_not_constituent_verified
293180,HANARO 200,코스피 200,equity,equity,MARKET_IDX,MARKET_IDX,KR,,not_applicable_no_compatible_stock_sector,own_underlying_regime,KR:MARKET_IDX,existing_sector_plus_name_index,semantic_mapping_not_constituent_verified
294400,KIWOOM 200TR,코스피 200 TR,equity,equity,MARKET_IDX,MARKET_IDX,KR,,not_applicable_no_compatible_stock_sector,own_underlying_regime,KR:MARKET_IDX,existing_sector_plus_name_index,semantic_mapping_not_constituent_verified
295040,SOL 200TR,코스피 200 TR,equity,equity,ETC,MARKET_IDX,KR,,not_applicable_no_compatible_stock_sector,own_underlying_regime,KR:MARKET_IDX,existing_sector_plus_name_index,semantic_mapping_not_constituent_verified
298770,KODEX 한국대만IT프리미어,한국 대만 IT 프리미어지수,equity,equity,ETC,MULTI_TECH,KR_TW,,not_applicable_no_compatible_stock_sector,own_underlying_regime,KR_TW:MULTI_TECH,symbol_override_from_name_index,semantic_mapping_not_constituent_verified
300640,RISE 게임테마,WISE 게임 테마 지수 (시장가격지수),equity,equity,TELCO_MEDIA,TELCO_MEDIA,KR,TELCO_MEDIA,domestic_stock_sector,domestic_stock_sector,KR:TELCO_MEDIA,existing_sector_plus_name_index,semantic_mapping_not_constituent_verified
300950,KODEX 게임산업,FnGuide 게임 산업 지수,equity,equity,TELCO_MEDIA,TELCO_MEDIA,KR,TELCO_MEDIA,domestic_stock_sector,domestic_stock_sector,KR:TELCO_MEDIA,existing_sector_plus_name_index,semantic_mapping_not_constituent_verified
302190,TIGER 중장기국채,KIS 국채 3-10년 지수(시장가격지수),bond_cash,bond_cash,MARKET_IDX,BOND_CASH,KR,,excluded_nonplain_equity,not_researched,KR:BOND_CASH,existing_sector_plus_name_index,semantic_mapping_not_constituent_verified
302450,RISE 코스피,코스피,equity,equity,MARKET_IDX,MARKET_IDX,KR,,not_applicable_no_compatible_stock_sector,own_underlying_regime,KR:MARKET_IDX,existing_sector_plus_name_index,semantic_mapping_not_constituent_verified
304660,KODEX 미국30년국채울트라선물(H),S&P Ultra T-Bond Futures Index(ER),bond_cash,bond_cash,MARKET_IDX,BOND_CASH,US,,excluded_nonplain_equity,not_researched,US:BOND_CASH,existing_sector_plus_name_index,semantic_mapping_not_constituent_verified
304780,HANARO 200선물레버리지,코스피 200 선물지수,leveraged_inverse,leveraged_inverse,MARKET_IDX,MARKET_IDX,KR,,excluded_nonplain_equity,not_researched,KR:MARKET_IDX,existing_sector_plus_name_index,semantic_mapping_not_constituent_verified
