symbol,sectorCode,mapMethod,confidenceGrade
OMCL,SEMI,ML_NAME_IMPUTED,C3
ORMP,BIO,RULE,B
OBX,BIO,RULE,B
ONEG,CONSTRUCT,RULE,B
OCC,IT_HW,RULE,B
NUWE,SEMI,ML_NAME_IMPUTED,C3
OCG,SOFTWARE,ML_NAME_IMPUTED,C3
ONEW,CONSTRUCT,RULE,B
OCS,SEMI,ML_NAME_IMPUTED,C3
OMDA,HEALTH_SVC,RULE,B
OCSL,FINANCE,ML_NAME_IMPUTED,C2
ODD,IT_HW,RULE,B
OLED,IT_HW,RULE,B
OBAI,SEMI,ML_NAME_IMPUTED,C3
OMER,SHIP_DEF,ML_NAME_IMPUTED,C3
OMEX,CONSTRUCT,RULE,B
ODTX,BIO,RULE,B
NTWK,IT_HW,RULE,B
NVMI,CHEM_STEEL,ML_NAME_IMPUTED,C3
OCUL,BIO,ML_NAME_IMPUTED,C1
ORBS,CONSUMER,ML_NAME_IMPUTED,C3
NXAT,IT_HW,RULE,B
OKUR,BIO,RULE,B
OFS,FINANCE,RULE,B
NXPL,CHEM_STEEL,ML_NAME_IMPUTED,C3
OFIX,HEALTH_SVC,RULE,B
NYAX,SOFTWARE,ML_NAME_IMPUTED,C3
NXPI,SEMI,RULE,B
NUR,CHEM_STEEL,ML_NAME_IMPUTED,C3
OKTA,SOFTWARE,EXPLICIT,A
OGI,CONSTRUCT,ML_NAME_IMPUTED,C3
OCTV,AUTO,ML_NAME_IMPUTED,C3
ORRF,FINANCE,RULE,B
ODFL,CONSTRUCT,EXPLICIT,A
OFLX,IT_HW,ML_NAME_IMPUTED,C3
ODYS,SOFTWARE,RULE,B
NXST,TELCO_MEDIA,RULE,B
ONMD,TELCO_MEDIA,ML_NAME_IMPUTED,C3
NWE,ENERGY,RULE,B
NXTC,CONSUMER,ML_NAME_IMPUTED,C3
OCGN,SOFTWARE,ML_NAME_IMPUTED,C3
OHAC,FINANCE,RULE,B
NWL,CONSUMER,RULE,B
NVNI,CONSTRUCT,ML_NAME_IMPUTED,C3
NWS,TELCO_MEDIA,EXPLICIT,A
OIG,FINANCE,RULE,B
NVNO,HEALTH_SVC,RULE,B
OIO,TELCO_MEDIA,ML_NAME_IMPUTED,C3
NWPX,CONSTRUCT,RULE,B
OCFC,FINANCE,RULE,B
OABI,SEMI,ML_NAME_IMPUTED,C3
NXH,SEMI,ML_NAME_IMPUTED,C3
OPRX,BATTERY,ML_NAME_IMPUTED,C3
NXL,IT_HW,RULE,B
OPRT,FINANCE,RULE,B
NXT,CONSUMER,ML_NAME_IMPUTED,C3
OPBK,FINANCE,RULE,B
NWCL,AUTO,ML_NAME_IMPUTED,C3
OKYO,BIO,RULE,B
NWTG,SHIP_DEF,ML_NAME_IMPUTED,C2
NVAX,CONSUMER,ML_NAME_IMPUTED,C3
OM,HEALTH_SVC,RULE,B
NYXH,CONSTRUCT,ML_NAME_IMPUTED,C3
ON,SEMI,EXPLICIT,A
OPAD,IT_HW,RULE,B
OPAL,SOFTWARE,ML_NAME_IMPUTED,C3
NXTS,IT_HW,RULE,B
NXTT,IT_HW,RULE,B
NWSA,TELCO_MEDIA,EXPLICIT,A
NWBI,FINANCE,RULE,B
OTLK,BIO,RULE,B
PICS,SOFTWARE,ML_NAME_IMPUTED,C2
PATK,SHIP_DEF,RULE,B
PHAT,BIO,RULE,B
PBFS,FINANCE,RULE,B
PASG,BIO,RULE,B
OXSQ,FINANCE,RULE,B
PGNY,SOFTWARE,ML_NAME_IMPUTED,C3
OSIS,IT_HW,RULE,B
PDYN,SOFTWARE,RULE,B
PASW,BIO,RULE,B
PACB,BIO,RULE,B
PBHC,FINANCE,RULE,B
PAVS,TELCO_MEDIA,RULE,B
PENG,IT_HW,RULE,B
OVBC,FINANCE,RULE,B
PAVM,HEALTH_SVC,ML_NAME_IMPUTED,C3
PDLB,FINANCE,RULE,B
PENN,TELCO_MEDIA,RULE,B
PCYO,CHEM_STEEL,ML_NAME_IMPUTED,C3
PAA,CHEM_STEEL,ML_NAME_IMPUTED,C3
PAL,CONSTRUCT,RULE,B
PGAC,FINANCE,RULE,B
PLMR,SOFTWARE,ML_NAME_IMPUTED,C3
PAX,SOFTWARE,ML_NAME_IMPUTED,C3
PAHC,HEALTH_SVC,RULE,B
PEPG,CONSUMER,ML_NAME_IMPUTED,C3
PHVS,SOFTWARE,ML_NAME_IMPUTED,C3
PFBC,FINANCE,RULE,B
PBK,ENERGY,ML_NAME_IMPUTED,C3
PBM,BIO,RULE,B
PBYI,BIO,RULE,B
PCB,FINANCE,RULE,B
PHUN,SOFTWARE,ML_NAME_IMPUTED,C3
PFAI,CONSUMER,RULE,B
PAGP,CHEM_STEEL,ML_NAME_IMPUTED,C3
PCT,IT_HW,RULE,B
OSPR,FINANCE,RULE,B
PGEN,SOFTWARE,ML_NAME_IMPUTED,C3
OSPN,SHIP_DEF,ML_NAME_IMPUTED,C3
PERI,IT_HW,RULE,B
PLPC,AUTO,ML_NAME_IMPUTED,C3
PEBK,FINANCE,RULE,B
PBLS,BIO,RULE,B
PFSA,CONSTRUCT,ML_NAME_IMPUTED,C3
OUST,CONSUMER,ML_NAME_IMPUTED,C3
PAYO,FINANCE,ML_NAME_IMPUTED,C3
OSS,IT_HW,RULE,B
PAYS,SOFTWARE,ML_NAME_IMPUTED,C3
OST,IT_HW,RULE,B
OSW,CONSUMER,ML_NAME_IMPUTED,C3
PAYX,SOFTWARE,EXPLICIT,A
PEP,CONSUMER,EXPLICIT,A
PIII,HEALTH_SVC,RULE,B
OSBC,FINANCE,RULE,B
PECO,ENERGY,ML_NAME_IMPUTED,C1
OTTR,CHEM_STEEL,ML_NAME_IMPUTED,C3
PALI,BIO,RULE,B
PFG,FINANCE,RULE,B
PETS,HEALTH_SVC,ML_NAME_IMPUTED,C3
PLAY,TELCO_MEDIA,RULE,B
PLBC,FINANCE,RULE,B
PETZ,SOFTWARE,ML_NAME_IMPUTED,C3
PFX,BATTERY,ML_NAME_IMPUTED,C3
PEBO,FINANCE,RULE,B
PGC,FINANCE,RULE,B
PESI,CONSTRUCT,ML_NAME_IMPUTED,C3
PKOH,CONSUMER,ML_NAME_IMPUTED,C3
PECE,FINANCE,RULE,B
PLAB,IT_HW,ML_NAME_IMPUTED,C3
PHIO,BIO,RULE,B
PCAR,SHIP_DEF,EXPLICIT,A
PGY,IT_HW,RULE,B
PLCI,FINANCE,ML_NAME_IMPUTED,C1
OWLS,SOFTWARE,ML_NAME_IMPUTED,C2
PANL,CONSTRUCT,RULE,B
PCRX,BIO,RULE,B
PANW,SOFTWARE,EXPLICIT,A
PLRZ,IT_HW,ML_NAME_IMPUTED,C3
PLBL,TELCO_MEDIA,ML_NAME_IMPUTED,C3
PDSB,BIO,RULE,B
OVID,BIO,RULE,B
PLRX,BIO,RULE,B
PLSE,BIO,RULE,B
PLBY,TELCO_MEDIA,ML_NAME_IMPUTED,C3
PLCE,CONSUMER,ML_NAME_IMPUTED,C3
OTEX,CHEM_STEEL,ML_NAME_IMPUTED,C3
PAMT,CHEM_STEEL,ML_NAME_IMPUTED,C3
PDEX,SOFTWARE,ML_NAME_IMPUTED,C3
PFIS,FINANCE,RULE,B
OVLY,FINANCE,RULE,B
PCTY,CHEM_STEEL,ML_NAME_IMPUTED,C3
PKBK,FINANCE,RULE,B
OSUR,IT_HW,RULE,B
PCSA,BIO,RULE,B
PEGA,SEMI,ML_NAME_IMPUTED,C3
PBAM,FINANCE,RULE,B
OZK,FINANCE,RULE,B
PARA,TELCO_MEDIA,EXPLICIT,A
PARK,HEALTH_SVC,RULE,B
PCVX,SOFTWARE,ML_NAME_IMPUTED,C3
OXBR,SOFTWARE,ML_NAME_IMPUTED,C3
PDFS,IT_HW,RULE,B
PHOE,SOFTWARE,ML_NAME_IMPUTED,C3
PC,SOFTWARE,ML_NAME_IMPUTED,C3
PI,SEMI,EXPLICIT,A
PRVA,HEALTH_SVC,RULE,B
QH,SOFTWARE,ML_NAME_IMPUTED,C3
PRTS,CONSUMER,ML_NAME_IMPUTED,C3
PONO,FINANCE,RULE,B
PRDO,CONSUMER,RULE,B
POOL,BATTERY,ML_NAME_IMPUTED,C3
PLYX,BIO,RULE,B
PPC,CHEM_STEEL,ML_NAME_IMPUTED,C3
PSIG,TELCO_MEDIA,ML_NAME_IMPUTED,C3
PPTA,CHEM_STEEL,RULE,B
PRGS,SOFTWARE,RULE,B
QLYS,SEMI,ML_NAME_IMPUTED,C3
QNME,IT_HW,RULE,B
PSIX,ENERGY,RULE,B
PTLE,SOFTWARE,ML_NAME_IMPUTED,C2
PULM,AUTO,ML_NAME_IMPUTED,C3
PSHG,CONSTRUCT,RULE,B
PRFX,IT_HW,RULE,B
PPSI,ENERGY,RULE,B
QBTS,IT_HW,RULE,B
PPCB,BIO,RULE,B
POCI,CONSTRUCT,ML_NAME_IMPUTED,C3
PRE,SOFTWARE,ML_NAME_IMPUTED,C3
PRZO,IT_HW,RULE,B
